tp,sl,rr,floor,trades,win_rate,total_return_pct,expectancy_atr,profit_factor,pf_raw
2.0,0.5,4.0,0.4,0,0.0,0.0,0.0,,
2.0,0.5,4.0,0.45,0,0.0,0.0,0.0,,
2.0,0.5,4.0,0.5,0,0.0,0.0,0.0,,
2.0,0.5,4.0,0.55,0,0.0,0.0,0.0,,
2.0,0.5,4.0,0.6,0,0.0,0.0,0.0,,
2.0,1.0,2.0,0.35,570,0.3351,-181.196,-0.4733,0.595,0.5954662522532344
2.0,1.0,2.0,0.4,148,0.3243,-47.145,-0.4574,0.593,0.5931302738689175
2.0,1.0,2.0,0.45,35,0.4,-3.162,0.0184,0.88,0.8801776840750241
2.0,1.0,2.0,0.5,6,0.1667,-4.748,-0.9998,0.269,0.26896791749242205
2.0,1.0,2.0,0.55,1,0.0,-1.298,-1.7158,,0.0
2.0,1.0,2.0,0.6,0,0.0,0.0,0.0,,
2.0,1.5,1.33,0.35,689,0.4107,-207.454,-0.4376,0.646,0.6461382598781864
2.0,1.5,1.33,0.4,639,0.4006,-218.68,-0.5213,0.615,0.6151106684357026
2.0,1.5,1.33,0.45,282,0.4433,-68.988,-0.4602,0.711,0.7111862167680709
2.0,1.5,1.33,0.5,80,0.425,-16.069,-0.5576,0.758,0.7580291707771583
2.0,1.5,1.33,0.55,12,0.4167,-3.825,-0.5206,0.679,0.6786274261105356
2.0,1.5,1.33,0.6,1,0.0,-1.107,-1.4641,,0.0
2.0,2.0,1.0,0.35,647,0.4235,-229.845,-0.5404,0.616,0.6161770555827066
2.0,2.0,1.0,0.4,609,0.4401,-214.223,-0.5497,0.619,0.6187737815731799
2.0,2.0,1.0,0.45,549,0.4335,-195.972,-0.5093,0.619,0.6190311658549456
2.0,2.0,1.0,0.5,314,0.4268,-142.537,-0.8159,0.548,0.5481879233680886
2.0,2.0,1.0,0.55,96,0.4792,-17.891,-0.3049,0.785,0.7849509572804584
2.0,2.0,1.0,0.6,15,0.6,7.556,0.5916,2.006,2.006405006279297
3.0,1.0,3.0,0.35,13,0.3846,-1.561,-0.0244,0.85,0.8497272434127002
3.0,1.0,3.0,0.4,1,0.0,-1.298,-1.7158,,0.0
3.0,1.0,3.0,0.45,0,0.0,0.0,0.0,,
3.0,1.0,3.0,0.5,0,0.0,0.0,0.0,,
3.0,1.0,3.0,0.55,0,0.0,0.0,0.0,,
3.0,1.0,3.0,0.6,0,0.0,0.0,0.0,,
3.0,1.5,2.0,0.35,185,0.3676,-59.203,-0.7326,0.652,0.6518283052245091
3.0,1.5,2.0,0.4,56,0.4286,-16.645,-0.7963,0.671,0.6714415013284046
3.0,1.5,2.0,0.45,6,0.3333,-2.614,-1.2842,0.598,0.5977179891153434
3.0,1.5,2.0,0.5,1,0.0,-1.107,-1.4641,,0.0
